"No.","Time","Source","Destination","Length","RSSI","Protocol","Info"
"56","0.940385","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","260","-28 dBm","802.11","QoS Data, SN=428, FN=0, Flags=.p.....TC"
"58","0.942980","Sagemcom_ba:ef:01","a4:42:3b:d2:f7:08","268","-50 dBm","802.11","QoS Data, SN=2254, FN=0, Flags=.p....F.C"
"65","0.987005","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","150","-28 dBm","802.11","QoS Data, SN=429, FN=0, Flags=.p.....TC"
"96","1.549739","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","260","-28 dBm","802.11","QoS Data, SN=430, FN=0, Flags=.p.....TC"
"98","1.550494","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","268","-52 dBm","802.11","QoS Data, SN=3396, FN=0, Flags=.p....F.C"
"100","1.551532","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-66 dBm","802.11","QoS Data, SN=1302, FN=0, Flags=.p.....TC"
"102","1.552599","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-50 dBm","802.11","QoS Data, SN=2255, FN=0, Flags=.p....F.C"
"109","1.596376","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","150","-28 dBm","802.11","QoS Data, SN=431, FN=0, Flags=.p.....TC"
"111","1.597693","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","158","-54 dBm","802.11","QoS Data, SN=3397, FN=0, Flags=.p....F.C"
"410","5.950486","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","260","-28 dBm","802.11","QoS Data, SN=432, FN=0, Flags=.p.....TC"
"412","5.953468","Sagemcom_ba:ef:01","a4:42:3b:d2:f7:08","268","-50 dBm","802.11","QoS Data, SN=2256, FN=0, Flags=.p....F.C"
"418","5.998142","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","150","-29 dBm","802.11","QoS Data, SN=433, FN=0, Flags=.p.....TC"
"448","6.563369","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","260","-28 dBm","802.11","QoS Data, SN=434, FN=0, Flags=.p.....TC"
"451","6.565008","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","268","-52 dBm","802.11","QoS Data, SN=3400, FN=0, Flags=.p....F.C"
"453","6.566034","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-67 dBm","802.11","QoS Data, SN=1305, FN=0, Flags=.p.....TC"
"455","6.567177","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-50 dBm","802.11","QoS Data, SN=2257, FN=0, Flags=.p....F.C"
"460","6.607530","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","150","-28 dBm","802.11","QoS Data, SN=435, FN=0, Flags=.p.....TC"
"462","6.607933","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","158","-54 dBm","802.11","QoS Data, SN=3401, FN=0, Flags=.p....F.C"
"769","10.646887","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","369","-29 dBm","802.11","QoS Data, SN=436, FN=0, Flags=.p.....TC"
"773","10.647103","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","189","-29 dBm","802.11","QoS Data, SN=437, FN=0, Flags=.p.....TC"
"774","10.654941","","a4:42:3b:d2:f7:08","311","-50 dBm","802.11","QoS Data, SN=2258, FN=0, Flags=.p....F.C"
