"number_of_packets","mean_pl","var_pl","mean_iartime","var_iartime","max_length","min_length","perc_qosd","perc_qosnull","perc_other","perc_sent","perc_rec","type_of_traffic"
28,154.785714285714,2194.84126984127,0.209889211333333,0.156760475625182,219,86,0.607142857142857,0.25,0.142857142857143,0.785714285714286,0.214285714285714,"Idle"
12,106.333333333333,902.424242424242,0.589263087090909,2.76368895526605,148,86,0.166666666666667,0.666666666666667,0.166666666666667,1,0,"Idle"
272,355.3125,154859.152905904,0.00769873204797049,0.0011096194810105,1546,86,0.852941176470588,0.147058823529412,0,0.455882352941176,0.544117647058823,"Idle"
10,86,0,0.022411943555556,0.00445164972891552,86,86,0,1,0,0.9,0.1,"Idle"
1,138,0,0,0,138,138,1,0,0,1,0,"Idle"
100,278.67,147625.90010101,0.041947792989899,0.0122845061467415,1546,86,0.52,0.42,0.06,0.79,0.21,"Idle"
70,289.614285714286,124495.457763975,0.119297150536232,0.0797010923515966,1538,86,0.728571428571429,0.171428571428571,0.1,0.685714285714286,0.314285714285714,"Idle"
8,151,2152,0.877814556714286,4.62514155985133,222,86,0.75,0.25,0,0.625,0.375,"Idle"
23,168.130434782609,500.118577075099,0.0123644699090907,0.00106612492894965,205,86,0.956521739130435,0.0434782608695652,0,0.608695652173913,0.391304347826087,"Idle"
2,112,1352,4.004226589,0,138,86,0.5,0.5,0,1,0,"Idle"
0,0,0,0,0,0,0,0,0,0,0,0,"Idle"
5,146.8,1371.2,2.0783644085,17.1679356174153,178,86,0.8,0.2,0,0.6,0.4,"Idle"
31,161.774193548387,1477.24731182796,0.225323816166666,0.45137450321733,205,86,0.838709677419355,0.161290322580645,0,0.580645161290323,0.419354838709677,"Idle"
0,0,0,0,0,0,0,0,0,0,0,0,"Idle"
1,138,0,0,0,138,138,1,0,0,1,0,"Idle"
25,175,849.416666666667,0.0166671125833335,0.00512767144620982,205,86,0.92,0.08,0,0.92,0.08,"Idle"
1,138,0,0,0,138,138,1,0,0,1,0,"Idle"
53,422.981132075472,207384.672714078,0.0225018951923078,0.00737926651771746,1392,86,0.981132075471698,0.0188679245283019,0,0.641509433962264,0.358490566037736,"Idle"
4,134,3082.66666666667,0.133394776666658,0.0470485049193674,186,86,0.5,0.5,0,0.75,0.25,"Idle"
1,138,0,0,0,138,138,1,0,0,1,0,"Idle"
0,0,0,0,0,0,0,0,0,0,0,0,"Idle"
5,96.4,540.8,0.460987834250005,0.27440614390619,138,86,0.2,0.8,0,0.8,0.2,"Idle"
0,0,0,0,0,0,0,0,0,0,0,0,"Idle"
1,138,0,0,0,138,138,1,0,0,1,0,"Idle"
25,150.68,1784.31,0.248446311833333,0.963476585578455,197,86,0.72,0.28,0,0.6,0.4,"Idle"
18,111.111111111111,1390.69281045752,0.216826870176469,0.630877901060867,178,86,0.333333333333333,0.666666666666667,0,0.833333333333333,0.166666666666667,"Idle"
59,161.457627118644,7950.52834599649,0.102206262310345,0.0489330687097943,536,86,0.576271186440678,0.355932203389831,0.0677966101694915,0.864406779661017,0.135593220338983,"Idle"
0,0,0,0,0,0,0,0,0,0,0,0,"Idle"
0,0,0,0,0,0,0,0,0,0,0,0,"Idle"
1,138,0,0,0,138,138,1,0,0,1,0,"Idle"
23,106.347826086957,1616.50988142292,0.143342778636364,0.345032927013728,205,86,0.217391304347826,0.782608695652174,0,0.869565217391304,0.130434782608696,"Idle"
0,0,0,0,0,0,0,0,0,0,0,0,"Idle"
8,162.375,1427.69642857143,0.469477532714287,1.14603717380163,207,86,0.875,0.125,0,0.625,0.375,"Idle"
6,86,0,0.240555075599991,0.188502770992501,86,86,0,1,0,0.833333333333333,0.166666666666667,"Idle"
0,0,0,0,0,0,0,0,0,0,0,0,"Idle"
0,0,0,0,0,0,0,0,0,0,0,0,"Idle"
2,112,1352,2.32465991999999,0,138,86,0.5,0.5,0,1,0,"Idle"
0,0,0,0,0,0,0,0,0,0,0,0,"Idle"
48,145.8125,3719.81515957447,0.122586342170212,0.191719894297164,438,86,0.583333333333333,0.3125,0.104166666666667,0.9375,0.0625,"Idle"
8,166.5,1332.28571428571,0.984493656857142,5.91617557971936,186,86,0.875,0.125,0,0.875,0.125,"Idle"
55,359.2,173336.014814815,0.0801452749444443,0.0248674891315948,1546,86,0.8,0.109090909090909,0.0909090909090909,0.690909090909091,0.309090909090909,"Idle"
158,205.962025316456,39198.6864468274,0.0630762844649679,0.0359510028250783,1122,86,0.569620253164557,0.430379746835443,0,0.620253164556962,0.379746835443038,"Idle"
22,162,869.047619047619,0.424667006904764,0.524001688181632,219,86,0.863636363636364,0.0909090909090909,0.0454545454545455,0.954545454545455,0.0454545454545455,"Idle"
1,86,0,0,0,86,86,0,1,0,1,0,"Idle"
22,159.227272727273,6092.37445887446,0.348635390142858,0.454214515346812,415,86,0.590909090909091,0.363636363636364,0.0454545454545455,0.954545454545455,0.0454545454545455,"Idle"
1,138,0,0,0,138,138,1,0,0,1,0,"Idle"
4,171,3772.66666666667,0.133373075666668,0.0358789664995199,219,86,0.5,0.25,0.25,1,0,"Idle"
20,156.6,1165.93684210526,0.434055114578948,1.33794963923187,210,86,0.85,0.15,0,0.85,0.15,"Idle"
9,149.222222222222,2668.44444444444,0.891826943000005,2.33779826828778,219,86,0.666666666666667,0.333333333333333,0,0.777777777777778,0.222222222222222,"Idle"
0,0,0,0,0,0,0,0,0,0,0,0,"Idle"
5,148.4,4263.3,0.301653337749997,0.024166054811856,219,86,0.4,0.4,0.2,1,0,"Idle"
43,108.511627906977,876.017718715393,0.0561007603333332,0.0352578492579785,150,86,0.325581395348837,0.627906976744186,0.0465116279069767,1,0,"Idle"
0,0,0,0,0,0,0,0,0,0,0,0,"Idle"
0,0,0,0,0,0,0,0,0,0,0,0,"Idle"
1,86,0,0,0,86,86,0,1,0,1,0,"Idle"
0,0,0,0,0,0,0,0,0,0,0,0,"Idle"
0,0,0,0,0,0,0,0,0,0,0,0,"Idle"
