"number_of_packets","mean_pl","var_pl","mean_iartime","var_iartime","max_length","min_length","perc_qosd","perc_qosnull","perc_other","perc_sent","perc_rec","type_of_traffic"
5337,1060.05002810568,482515.025045445,0.00187352284332834,0.000416507526447687,1614,86,0.996439947536069,0.00318531009930673,0.000374742364624321,0.374367622259696,0.625632377740304,"Netflix"
13821,972.779538383619,512668.28286928,0.000723088762011577,5.95488765860391e-06,1614,86,0.99884234136459,0.000651182982418059,0.000506475652991824,0.4407061717676,0.5592938282324,"Netflix"
10085,905.885374318294,519136.974166274,0.000990445696053153,1.36700658475782e-05,1614,162,0.99980168567179,0,0.000198314328210213,0.487059990084284,0.512940009915716,"Netflix"
16022,1010.88946448633,504919.436691942,0.000623019692903065,5.10977446487273e-06,1614,138,0.999937585819498,0,6.241418050181e-05,0.415241542878542,0.584758457121458,"Netflix"
10246,986.752293577982,509847.244638468,0.000975187251146901,1.21653768021112e-05,1614,154,0.999902400936951,0,9.75990630489947e-05,0.431387858676557,0.568612141323443,"Netflix"
5124,1048.66256830601,495686.858009096,0.00194218545481163,0.00024661853214662,1614,86,0.998829039812646,0.00117096018735363,0,0.381147540983607,0.618852459016393,"Netflix"
63,229.84126984127,92678.3292370712,0.109228078274193,0.0617360022604465,1546,86,0.619047619047619,0.380952380952381,0,0.761904761904762,0.238095238095238,"Netflix"
1071,867.586367880486,518794.69697287,0.00362759793364486,0.000516360625674092,1614,86,0.957983193277311,0.0401493930905696,0.00186741363211951,0.479925303454715,0.520074696545285,"Netflix"
2573,860.589195491644,508245.64493765,0.00259495289968895,0.000198909846460871,1614,86,0.995724834823164,0.00427516517683638,0,0.524290711232025,0.475709288767975,"Netflix"
17,194.176470588235,5816.77941176471,0.55705227425,2.29543906600491,267,86,0.764705882352941,0.235294117647059,0,1,0,"Netflix"
2377,950.008413967186,514546.44437362,0.00368484815025253,0.00485909315735694,1614,86,0.998737904922171,0.0012620950778292,0,0.440891880521666,0.559108119478334,"Netflix"
281,624.149466192171,317679.649008643,0.0300587126392857,0.0134053056994542,1546,86,0.889679715302491,0.110320284697509,0,0.416370106761566,0.583629893238434,"Netflix"
1810,985.624309392265,510609.218645874,0.00536442236926479,0.00390485414896369,1614,86,0.996132596685083,0.00331491712707182,0.000552486187845304,0.425414364640884,0.574585635359116,"Netflix"
8096,1094.95454545455,477983.101577854,0.00121241226189005,0.00432614766302523,1614,86,0.999258893280632,0.00024703557312253,0.000494071146245059,0.3574604743083,0.6425395256917,"Netflix"
9714,958.611282684785,513165.209533967,0.000991947554411613,0.0002487607088992,1614,86,0.998044060119415,0.00164710726786082,0.000308832612723904,0.452851554457484,0.547148445542516,"Netflix"
3339,979.243186582809,504417.621489663,0.00293281643798682,0.00131767760396665,1614,86,0.973944294699012,0.0257562144354597,0.000299490865528601,0.397124887690925,0.602875112309075,"Netflix"
27889,1054.17275628384,491991.158048631,0.000355948710664084,6.208118859099e-06,1614,86,0.998135465595755,0.00150597009573667,0.000358564308508731,0.384129943705404,0.615870056294596,"Netflix"
8530,1053.51676436108,491948.43570204,0.00113321869996483,0.00135765576781252,1614,86,0.997538100820633,0.0022274325908558,0.000234466588511137,0.381711606096131,0.618288393903869,"Netflix"
495,788.525252525253,453114.796425796,0.0168389044129555,0.00933086302244062,1614,86,0.947474747474747,0.0424242424242424,0.0101010101010101,0.682828282828283,0.317171717171717,"Netflix"
2276,846.806678383128,486529.365687248,0.00439049131780219,0.000974097331384656,1614,86,0.988576449912127,0.0109841827768014,0.000439367311072056,0.525043936731107,0.474956063268893,"Netflix"
14110,1228.05861091425,397563.895990416,0.000707599147352753,0.000105897361048083,1614,86,0.995747696669029,0.00411055988660524,0.000141743444365698,0.262863217576187,0.737136782423813,"Netflix"
11918,1093.77294848129,475657.080271762,0.000838490896030881,4.94863469251363e-06,1614,86,0.998741399563685,0.000839066957543212,0.000419533478771606,0.353247189125692,0.646752810874308,"Netflix"
