"number_of_packets","mean_pl","var_pl","mean_iartime","var_iartime","max_length","min_length","perc_qosd","perc_qosnull","perc_other","perc_sent","perc_rec","type_of_traffic"
395,381.924050632911,172448.212491165,0.0243686622208122,0.00534996226493844,1584,86,0.924050632911392,0.0759493670886076,0,0.632911392405063,0.367088607594937,"Spotify"
164,322.298780487805,122107.634108933,0.0574321221533742,0.0283029120347347,1614,86,0.920731707317073,0.0792682926829268,0,0.597560975609756,0.402439024390244,"Spotify"
268,384.391791044776,183120.471393035,0.0343910835355805,0.0128795783641667,1598,86,0.966417910447761,0.0298507462686567,0.00373134328358209,0.675373134328358,0.324626865671642,"Spotify"
92,196.369565217391,10779.7080745342,0.100291705802198,0.057950759475429,827,86,0.902173913043478,0.0869565217391304,0.0108695652173913,0.847826086956522,0.152173913043478,"Spotify"
47,184.808510638298,4473.02775208141,0.200086681586956,0.101119128680078,267,86,0.765957446808511,0.234042553191489,0,0.914893617021277,0.0851063829787234,"Spotify"
66,228.863636363636,37144.3041958042,0.128004555015385,0.0952544490661567,1584,86,0.893939393939394,0.106060606060606,0,0.787878787878788,0.212121212121212,"Spotify"
182,369.346153846154,177955.553548661,0.0317373919944751,0.0206803413553196,1584,86,0.967032967032967,0.032967032967033,0,0.598901098901099,0.401098901098901,"Spotify"
4994,916.961153384061,439352.042552325,0.00180339412377328,0.0012893448045314,1614,86,0.998598317981578,0.000800961153384061,0.000600720865038046,0.429315178213857,0.570684821786143,"Spotify"
2384,976.300755033557,419008.890205053,0.00400161776919849,0.00301811122998871,1584,86,0.995805369127517,0.0037751677852349,0.000419463087248322,0.361157718120805,0.638842281879195,"Spotify"
85,252.682352941176,38500.4574229692,0.109796911464286,0.0683409733542126,1594,86,0.811764705882353,0.141176470588235,0.0470588235294118,0.952941176470588,0.0470588235294118,"Spotify"
33,191.818181818182,5314.84090909091,0.29106063971875,0.272771203214649,267,86,0.666666666666667,0.272727272727273,0.0606060606060606,1,0,"Spotify"
331,309.425981873112,49060.9058683512,0.0300144801909091,0.00745164574271117,1394,86,0.942598187311178,0.0453172205438066,0.0120845921450151,0.676737160120846,0.323262839879154,"Spotify"
154,238.779220779221,25308.9444020032,0.0620275150392158,0.0171165192427709,744,86,0.688311688311688,0.298701298701299,0.012987012987013,0.961038961038961,0.038961038961039,"Spotify"
200,405.84,173707.431557789,0.0469939434472362,0.0233875624476071,1394,86,0.905,0.09,0.005,0.655,0.345,"Spotify"
329,412.969604863222,215068.486878197,0.0270573912378049,0.0161385343730898,1580,86,0.826747720364742,0.167173252279635,0.0060790273556231,0.610942249240122,0.389057750759878,"Spotify"
65,261.076923076923,77964.1033653846,0.149760915796875,0.118678223916741,1370,86,0.723076923076923,0.215384615384615,0.0615384615384615,0.8,0.2,"Spotify"
78,244.512820512821,51168.5647685648,0.124120352012987,0.123976230864499,1590,86,0.782051282051282,0.205128205128205,0.0128205128205128,0.782051282051282,0.217948717948718,"Spotify"
763,395.149410222805,226419.780796896,0.0124384547900263,0.00620087993240057,1614,86,0.985583224115334,0.0104849279161206,0.00393184796854522,0.771952817824377,0.228047182175623,"Spotify"
