"number_of_packets","mean_pl","var_pl","mean_iartime","var_iartime","max_length","min_length","perc_qosd","perc_qosnull","perc_other","perc_sent","perc_rec","type_of_traffic"
469,289.26012793177,18562.6715051118,0.0212948785534188,0.0183344739203303,1546,86,0.993603411513859,0.00426439232409382,0.00213219616204691,0.526652452025586,0.473347547974414,"VoIP"
631,352.744849445325,17888.5236837471,0.0157330913777778,0.000714129241755853,564,138,1,0,0,0.462757527733756,0.537242472266244,"VoIP"
975,299.634871794872,4592.87065129258,0.0102282108634497,0.000351526177647485,395,138,0.998974358974359,0,0.00102564102564103,0.449230769230769,0.550769230769231,"VoIP"
857,295.119019836639,5308.41105137461,0.0115736256939252,0.000428228081316787,390,138,1,0,0,0.44340723453909,0.55659276546091,"VoIP"
988,306.092105263158,3935.58725270623,0.0101085818561297,0.000304704425239156,378,138,0.998987854251012,0,0.00101214574898785,0.446356275303644,0.553643724696356,"VoIP"
759,288.768115942029,5828.68494512638,0.013140292994723,0.000343212431357617,717,138,1,0,0,0.47167325428195,0.52832674571805,"VoIP"
917,305.765539803708,4166.66876753035,0.0108774769847161,0.00028365587555173,403,138,0.998909487459106,0,0.00109051254089422,0.456924754634678,0.543075245365322,"VoIP"
755,261.141721854305,5906.24116148752,0.0132359714761273,0.000788772920869242,664,86,0.998675496688742,0.00132450331125828,0,0.492715231788079,0.50728476821192,"VoIP"
814,284.346437346437,5194.76298237184,0.0122563417330873,0.000611062522972331,385,86,0.997542997542998,0.00122850122850123,0.00122850122850123,0.492628992628993,0.507371007371007,"VoIP"
926,287.33909287257,5073.28813496001,0.0107716440778378,0.000389887808523463,468,138,1,0,0,0.428725701943845,0.571274298056155,"VoIP"
963,306.772585669782,4248.89105640507,0.0103763071164241,0.000299394404029702,390,138,1,0,0,0.467289719626168,0.532710280373832,"VoIP"
989,302.564206268959,4982.64288755255,0.010077836832996,0.000306198691925429,402,138,1,0,0,0.464105156723964,0.535894843276036,"VoIP"
1020,304.282352941176,10217.7474802286,0.00980230698135426,0.000281151432048058,1584,86,0.992156862745098,0.00196078431372549,0.00588235294117647,0.503921568627451,0.496078431372549,"VoIP"
927,298.584681769148,5211.90183853253,0.0107629623174946,0.000347040150118028,458,138,1,0,0,0.446601941747573,0.553398058252427,"VoIP"
779,302.410783055199,4187.93900954028,0.0128057411838046,0.00037525043060134,391,138,0.998716302952503,0,0.00128369704749679,0.465982028241335,0.534017971758665,"VoIP"
939,341.33439829606,52989.0501054745,0.0106003820703625,0.000329737069183653,1374,86,0.976570820021299,0.0234291799787007,0,0.473908413205538,0.526091586794462,"VoIP"
854,295.572599531616,4711.67995173393,0.0116888822895663,0.000297411548437179,390,138,1,0,0,0.502341920374707,0.497658079625293,"VoIP"
1011,302.079129574679,13672.9897719149,0.00985611559405941,0.000308903130513795,1584,86,0.992087042532146,0.00791295746785361,0,0.479723046488625,0.520276953511375,"VoIP"
919,294.961915125136,6261.31118412786,0.0108141584248366,0.000365624259248987,866,86,0.998911860718172,0.00108813928182807,0,0.519042437431991,0.480957562568009,"VoIP"
864,294.290509259259,5188.09743009957,0.0115788316338355,0.000400310050576196,625,138,1,0,0,0.431712962962963,0.568287037037037,"VoIP"
918,299.22440087146,11375.1229808293,0.0108476920141767,0.000353557761274766,1546,138,0.998910675381264,0,0.00108932461873638,0.491285403050109,0.508714596949891,"VoIP"
861,297.182346109175,4676.11438565216,0.0115226467825581,0.000385375076128679,720,138,1,0,0,0.478513356562137,0.521486643437863,"VoIP"
943,298.048780487805,4590.43286209932,0.0105889134808917,0.000361168210969001,391,138,0.997879109225875,0,0.00212089077412513,0.478260869565217,0.521739130434783,"VoIP"
771,294.971465629053,4667.92645745953,0.0129147528727273,0.000490337102624752,386,138,1,0,0,0.481193255512322,0.518806744487678,"VoIP"
833,292.603841536615,4680.87892753255,0.0119765130444712,0.000403023912550175,426,138,0.998799519807923,0,0.00120048019207683,0.548619447779112,0.451380552220888,"VoIP"
1002,295.771457085828,5076.54012354911,0.00995990959240759,0.000378550676041317,458,142,1,0,0,0.436127744510978,0.563872255489022,"VoIP"
1004,305.647410358566,4647.9513292791,0.00993035530508475,0.00026812014202273,785,128,1,0,0,0.437250996015936,0.562749003984064,"VoIP"
1050,297.071428571429,5368.54303418221,0.00952226218970449,0.000278013326113605,389,99,1,0,0,0.47047619047619,0.52952380952381,"VoIP"
801,302.255930087391,4418.12066791511,0.01248667406375,0.000325221377659742,387,100,1,0,0,0.444444444444444,0.555555555555556,"VoIP"
898,301.385300668151,4395.0041092183,0.011010019025641,0.000314290737603898,435,103,1,0,0,0.458797327394209,0.541202672605791,"VoIP"
844,298.63981042654,4805.28410720008,0.0118515727449585,0.000388391909757357,384,138,1,0,0,0.502369668246445,0.497630331753554,"VoIP"
1138,302.099297012302,4589.60754567952,0.00878839167546175,0.000248017640930868,458,119,1,0,0,0.441124780316344,0.558875219683655,"VoIP"
838,298.089498806683,4639.58696247252,0.0118524276451612,0.000328204541507239,380,108,1,0,0,0.478520286396181,0.521479713603819,"VoIP"
752,299.635638297872,4698.7778493923,0.0131727607430094,0.000401051092181558,378,138,1,0,0,0.460106382978723,0.539893617021277,"VoIP"
989,300.232558139535,4198.56124658695,0.0101106409048583,0.00037319763199988,400,138,1,0,0,0.47118301314459,0.528816986855409,"VoIP"
859,300.894062863795,4706.72652648089,0.0115768814545454,0.000403122616173339,381,86,0.9988358556461,0.00116414435389988,0,0.505238649592549,0.494761350407451,"VoIP"
697,311.652797704448,3748.15513943172,0.0143155688793103,0.000413015994574099,394,142,1,0,0,0.328550932568149,0.671449067431851,"VoIP"
853,297.11488862837,4971.74969590894,0.0117041869084507,0.000515184851337562,438,144,1,0,0,0.221570926143025,0.778429073856975,"VoIP"
986,299.704868154158,4933.89148896737,0.0101011163949239,0.000372532364955324,383,105,1,0,0,0.431034482758621,0.568965517241379,"VoIP"
835,308.54371257485,3939.78555694367,0.01190873758753,0.000338709365535839,388,138,1,0,0,0.494610778443114,0.505389221556886,"VoIP"
847,296.632821723731,4800.33428789135,0.0117827027659575,0.000321768334113486,394,138,0.998819362455726,0,0.00118063754427391,0.491145218417946,0.508854781582054,"VoIP"
891,304.74859708193,4737.93897274871,0.0111922822247192,0.000300443079789737,391,138,1,0,0,0.489337822671156,0.510662177328844,"VoIP"
944,306.467161016949,17055.6362481352,0.0105688969830329,0.000291668236705631,1584,111,0.998940677966102,0,0.00105932203389831,0.455508474576271,0.544491525423729,"VoIP"
879,302.811149032992,4024.55199400852,0.011359464025057,0.000309299984588484,378,138,1,0,0,0.473265073947668,0.526734926052332,"VoIP"
1136,299.724471830986,5009.85617593225,0.00878158787577096,0.000335235885933263,434,93,0.997359154929577,0,0.00264084507042254,0.403169014084507,0.596830985915493,"VoIP"
731,289.432284541724,5117.93890148605,0.0136146346273972,0.000626980392230855,376,142,1,0,0,0.424076607387141,0.575923392612859,"VoIP"
851,307.675675675676,3914.00292527822,0.0117394821388235,0.000365178933234616,382,142,1,0,0,0.227967097532315,0.772032902467685,"VoIP"
920,288.039130434783,5102.15733547807,0.0108363143427639,0.000352319276827582,386,138,1,0,0,0.417391304347826,0.582608695652174,"VoIP"
936,279.240384615385,5471.25017482518,0.010388877484492,0.000374056764697151,383,86,0.998931623931624,0.00106837606837607,0,0.615384615384615,0.384615384615385,"VoIP"
638,266.087774294671,5831.61551748744,0.0156654581538461,0.00111016281378713,459,86,0.987460815047022,0.0125391849529781,0,0.725705329153605,0.274294670846395,"VoIP"
677,293.65435745938,4336.29159710872,0.0146412260665681,0.000609428258500167,381,138,1,0,0,0.813884785819793,0.186115214180207,"VoIP"
493,284.949290060852,4572.64986229984,0.0202091430772359,0.0011514320217172,364,86,0.997971602434077,0.00202839756592292,0,0.768762677484787,0.231237322515213,"VoIP"
389,269.478149100257,5758.14191821483,0.0253530147422679,0.00223418477297121,424,86,0.992287917737789,0.0077120822622108,0,0.542416452442159,0.457583547557841,"VoIP"
596,260.793624161074,5784.50019457447,0.0167186056957984,0.000616807327702875,451,86,0.981543624161074,0.0184563758389262,0,0.60738255033557,0.39261744966443,"VoIP"
772,309.987046632124,3666.97000060483,0.0128717759857328,0.00059730916034097,380,93,0.99740932642487,0,0.00259067357512953,0.408031088082902,0.591968911917098,"VoIP"
923,300.762730227519,4353.50437952259,0.010784075610629,0.000327682258386143,399,138,1,0,0,0.429035752979415,0.570964247020585,"VoIP"
910,296.30989010989,5136.58153024094,0.0109728406996699,0.000326398627331979,390,138,1,0,0,0.485714285714286,0.514285714285714,"VoIP"
997,300.339017051153,4931.26045405292,0.00997951464558231,0.000343761175057771,383,138,1,0,0,0.503510531594784,0.496489468405216,"VoIP"
1104,300.277173913043,4488.20959635776,0.0090445585575702,0.000264727098810075,458,90,0.998188405797101,0,0.00181159420289855,0.446557971014493,0.553442028985507,"VoIP"
740,282.172972972973,5564.80630508723,0.0134540393558864,0.000414394084029571,412,142,1,0,0,0.281081081081081,0.718918918918919,"VoIP"
