"mean_pl","var_pl","mean_iartime","var_iartime","max_length","min_length","num_qosd","num_qosnull","num_other","num_up","num_down","type_of_traffic"
1954.28371710526,1265887.35071407,0.012039766255144,0.0139482193736372,3135,86,1183,33,0,331,885,"Youtube"
2080.85405405405,1182959.67818943,0.00540599073001159,0.00661809017936777,2882,86,2556,32,2,613,1977,"Youtube"
2115.2970388649,1142994.68033063,0.00426401943844493,0.00438706623445424,3239,86,3216,26,0,726,2516,"Youtube"
1957.02244039271,1300203.91180772,0.00501116976499474,0.0015979632532617,3208,86,2765,73,14,780,2072,"Youtube"
2160.83479349186,1075136.17551517,0.00425370078247261,0.00489313808297432,3094,86,3168,28,0,648,2548,"Youtube"
2073.38564337533,1198055.84816661,0.00520677578304049,0.00437238748503297,2982,86,2592,27,0,623,1996,"Youtube"
2123.07605315239,1129880.89721202,0.00410075084841629,0.00308609475465278,2938,86,3496,34,7,777,2760,"Youtube"
985.914031620553,1319887.84522329,0.0136746112759644,0.00776757031246561,3208,86,956,50,6,564,448,"Youtube"
2068.15253293747,1161055.69759056,0.00261312694877505,0.00284989150644909,3238,86,5363,26,0,1294,4095,"Youtube"
2076.38903075386,1125103.6316718,0.00162679624694648,0.000694534176124725,3250,86,8958,47,2,2017,6990,"Youtube"
1829.08640636298,1411346.64388748,0.00482164520795659,0.00288901903006112,3222,86,2729,36,1,899,1867,"Youtube"
1993.39359698682,1290775.39083837,0.00845387876884422,0.00619149529338886,2894,86,1558,35,0,409,1184,"Youtube"
2024.22493224932,1255660.51886271,0.00947191525423728,0.00794467790335165,2970,86,1443,33,0,363,1113,"Youtube"
2071.11936785474,1180694.02980976,0.00470619609821729,0.00296757906531915,2794,86,2935,39,0,679,2295,"Youtube"
2042.77879831611,1211315.36835583,0.0055379659264931,0.00493406927297359,2882,86,2568,39,6,627,1986,"Youtube"
1965.27805937726,1304358.56175739,0.00977216014492755,0.0073573703766059,2882,86,1348,31,2,365,1016,"Youtube"
1287.44533333333,1482480.16211052,0.0365301417112299,0.0295011707890066,3217,86,341,34,0,190,185,"Youtube"
1943.39263592567,1316232.769364,0.00493548261617899,0.0025991446522484,2906,86,2808,36,62,775,2131,"Youtube"
1790.56506849315,1414060.2968684,0.00569846098210887,0.00269581538407334,3162,86,2557,24,47,785,1843,"Youtube"
2028.14079422383,1245194.47221469,0.0103540375722543,0.0107199203062169,2800,86,1350,34,1,341,1044,"Youtube"
2050.1355529132,1212616.9808251,0.00547962767644726,0.0043170840834183,3214,86,2487,35,1,585,1938,"Youtube"
2057.23781998348,1196788.12851888,0.0111930388429752,0.0114134690883186,3094,86,1187,24,0,266,945,"Youtube"
1970.02691511387,1263429.05245187,0.00986890953038675,0.0059277508198971,3175,86,1410,37,2,334,1115,"Youtube"
2081.51079136691,1151350.51444499,0.00944425261780104,0.00746953474868268,3140,86,1497,32,0,342,1187,"Youtube"
1970.31348391513,1305672.24412628,0.00924024726027399,0.00651648342204922,3169,86,1421,39,1,387,1074,"Youtube"
2189.38722947594,1032092.37256676,0.00242705223613596,0.00215093257085366,2906,86,5568,23,0,1096,4495,"Youtube"
2175.61666189522,1052576.0617727,0.00419124742268041,0.00280991414618629,3045,86,3428,46,19,704,2789,"Youtube"
2035.2514185945,1212658.94986152,0.00634432227074234,0.00435832887852527,3140,86,2227,50,14,554,1737,"Youtube"
2157.52100669779,1073230.09938608,0.00294715042630937,0.00248878420762512,3125,86,4878,41,8,1002,3925,"Youtube"
2112.86025915913,1764892.23806904,0.0013831101995152,0.000690263762914116,3220,86,10663,62,2,3186,7541,"Youtube"
2162.70475359791,1766350.76168171,0.000724206096142665,0.000288607227394656,3225,86,20605,32,0,6216,14421,"Youtube"
2461.8326838251,1442230.26643665,0.000640206167023556,0.000264811863219139,3224,86,23335,16,0,4837,18514,"Youtube"
1918.69675925926,1289004.21453775,0.0115137861003861,0.0146354175862522,3238,86,1262,32,2,342,954,"Youtube"
2081.47946971092,1295786.09970737,0.00137694494061321,0.000358718677974128,3256,86,10817,43,2,2692,8170,"Youtube"
2165.48230811105,1217245.52436712,0.00134997659014608,0.000367460331685144,3262,86,10927,62,33,2444,8578,"Youtube"
2203.92432432432,1016952.03625034,0.0020714150103355,0.00102187996945334,3216,86,6249,40,1,1220,5070,"Youtube"
2034.03711484594,1242188.31747226,0.00908164400840927,0.00850407522267395,3238,86,1401,26,1,341,1087,"Youtube"
2099.45588235294,1142157.74704964,0.00643213152028529,0.00551345682839148,3238,86,2211,33,0,488,1756,"Youtube"
2134.73367477593,1117161.50717893,0.00634359137489328,0.00512013012710039,2910,86,2305,38,0,492,1851,"Youtube"
1923.375,1339256.00980912,0.0137388950159067,0.0122968179745332,2790,86,919,25,0,247,697,"Youtube"
2049.49493670886,1223123.44420754,0.0162254182509505,0.0172265602719214,2710,86,769,21,0,181,609,"Youtube"
2044.97026604069,1195788.49245897,0.0111249765074393,0.0100446170738969,3222,86,1247,31,0,294,984,"Youtube"
2121.253113879,1111961.97462314,0.00573634623943037,0.0051855009856556,3206,86,2210,30,8,470,1778,"Youtube"
2131.43221003135,1112165.75628081,0.00583591219129755,0.00469858821512645,3140,86,2517,32,3,522,2030,"Youtube"
2180.04797191888,1043671.72731153,0.00520620834959034,0.00523810649684399,3140,86,2523,28,13,489,2075,"Youtube"
2113.98516320475,1146647.74588216,0.0100688047512992,0.0100629610046196,2906,86,1319,29,0,283,1065,"Youtube"
2089.85046728972,1174851.88614063,0.0134879012474012,0.016002117531656,2990,86,945,18,0,203,760,"Youtube"
2156.00275699094,1081062.09022092,0.00519766272655632,0.00605088541865394,2902,86,2517,22,0,515,2024,"Youtube"
2065.03664416586,1207000.69556711,0.0125670482625482,0.0121498948480654,3140,86,1018,19,0,230,807,"Youtube"
2051.94708171206,1213643.92710402,0.0101648839563863,0.0110941529313998,3049,86,1261,24,0,299,986,"Youtube"
2175.48542761586,1049137.61415179,0.00624715296367111,0.00544061535710791,3079,86,2058,27,8,404,1689,"Youtube"
2159.52873563218,1061557.94194401,0.00470295679442508,0.00473184413087158,2902,86,2839,29,3,603,2268,"Youtube"
