"No.","Time","Source","Destination","Length","RSSI","Protocol","Info"
"587","11.106986228","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","169","-32 dBm","802.11","QoS Data, SN=867, FN=0, Flags=.p.....TC"
"592","11.151453177","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","166","-53 dBm","802.11","QoS Data, SN=1657, FN=0, Flags=.p....F.C"
"594","11.152398170","SamsungE_53:9b:d4","10:13:31:f7:c2:e1","86","-31 dBm","802.11","QoS Null function (No data), SN=957, FN=0, Flags=...P...TC"
"597","11.159256013","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","201","-31 dBm","802.11","QoS Data, SN=868, FN=0, Flags=.p.....TC"
"602","11.162045554","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","166","-52 dBm","802.11","QoS Data, SN=1658, FN=0, Flags=.p....F.C"
"609","11.187943822","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-30 dBm","802.11","QoS Data, SN=869, FN=0, Flags=.p.....TC"
"618","11.270805683","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","194","-28 dBm","802.11","QoS Data, SN=870, FN=0, Flags=.p.....TC"
"620","11.271083830","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","174","-28 dBm","802.11","QoS Data, SN=871, FN=0, Flags=.p.....TC"
"625","11.277762073","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","210","-51 dBm","802.11","QoS Data, SN=1660, FN=0, Flags=.p....F.C"
"629","11.279285185","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","190","-51 dBm","802.11","QoS Data, SN=1661, FN=0, Flags=.p....F.C"
"640","11.359672191","SamsungE_53:9b:d4","01:00:5e:00:00:16","146","-27 dBm","802.11","QoS Data, SN=6, FN=0, Flags=.p.....TC"
"644","11.372669984","SamsungE_53:9b:d4","01:00:5e:00:00:fb","219","-27 dBm","802.11","QoS Data, SN=872, FN=0, Flags=.p.....TC"
"647","11.444700892","SamsungE_53:9b:d4","01:00:5e:00:00:16","148","-50 dBm","802.11","Data, SN=986, FN=0, Flags=.pm...F.C"
"648","11.446249249","SamsungE_53:9b:d4","01:00:5e:00:00:fb","213","-51 dBm","802.11","Data, SN=987, FN=0, Flags=.p....F.C"
"662","11.691228253","SamsungE_53:9b:d4","01:00:5e:00:00:16","146","-26 dBm","802.11","QoS Data, SN=7, FN=0, Flags=.p.....TC"
"669","11.752017665","SamsungE_53:9b:d4","01:00:5e:00:00:16","148","-52 dBm","802.11","Data, SN=991, FN=0, Flags=.p....F.C"
"686","11.960974386","SamsungE_53:9b:d4","10:13:31:f7:c2:e1","86","-25 dBm","802.11","QoS Null function (No data), SN=958, FN=0, Flags=...P...TC"
"705","12.369465914","SamsungE_53:9b:d4","01:00:5e:00:00:fb","219","-27 dBm","802.11","QoS Data, SN=873, FN=0, Flags=.p.....TC"
"719","12.472399150","SamsungE_53:9b:d4","01:00:5e:00:00:fb","213","-55 dBm","802.11","Data, SN=1000, FN=0, Flags=.p....F.C"
"733","12.769793572","SamsungE_53:9b:d4","10:13:31:f7:c2:e1","86","-29 dBm","802.11","QoS Null function (No data), SN=959, FN=0, Flags=...P...TC"
"778","13.763033179","SamsungE_53:9b:d4","10:13:31:f7:c2:e1","86","-28 dBm","802.11","QoS Null function (No data), SN=960, FN=0, Flags=...P...TC"
"823","14.669081070","SamsungE_53:9b:d4","10:13:31:f7:c2:e1","86","-29 dBm","802.11","QoS Null function (No data), SN=961, FN=0, Flags=...P...TC"
"912","16.373567346","SamsungE_53:9b:d4","10:13:31:f7:c2:e1","86","-29 dBm","802.11","QoS Null function (No data), SN=962, FN=0, Flags=.......TC"
"916","16.373903249","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","186","-57 dBm","802.11","QoS Data, SN=1662, FN=0, Flags=.p....F.C"
"920","16.374443475","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","142","-57 dBm","802.11","QoS Data, SN=1663, FN=0, Flags=.p....F.C"
"922","16.375654681","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","178","-29 dBm","802.11","QoS Data, SN=875, FN=0, Flags=.p.....TC"
"924","16.376784203","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","138","-30 dBm","802.11","QoS Data, SN=876, FN=0, Flags=.p.....TC"
"944","16.773994934","SamsungE_53:9b:d4","10:13:31:f7:c2:e1","86","-27 dBm","802.11","QoS Null function (No data), SN=963, FN=0, Flags=...P...TC"
"1196","21.815069849","SamsungE_53:9b:d4","10:13:31:f7:c2:e1","86","-34 dBm","802.11","QoS Null function (No data), SN=964, FN=0, Flags=.......TC"
"1198","21.824673240","SamsungE_53:9b:d4","10:13:31:f7:c2:e1","86","-34 dBm","802.11","QoS Null function (No data), SN=965, FN=0, Flags=...P...TC"
"1206","21.913343268","SamsungE_53:9b:d4","01:00:5e:00:00:16","146","-33 dBm","802.11","QoS Data, SN=8, FN=0, Flags=.p.....TC"
"1209","21.991990613","SamsungE_53:9b:d4","01:00:5e:00:00:16","148","-67 dBm","802.11","Data, SN=1110, FN=0, Flags=.p....F.C"
"1222","22.309786325","SamsungE_53:9b:d4","10:13:31:f7:c2:e1","86","-30 dBm","802.11","QoS Null function (No data), SN=966, FN=0, Flags=...P...TC"
"1223","22.309815929","SamsungE_53:9b:d4","10:13:31:f7:c2:e1","86","-30 dBm","802.11","QoS Null function (No data), SN=966, FN=0, Flags=...PR..TC"
"1224","22.309945931","SamsungE_53:9b:d4","10:13:31:f7:c2:e1","86","-30 dBm","802.11","QoS Null function (No data), SN=966, FN=0, Flags=...PR..TC"
"1225","22.310091115","SamsungE_53:9b:d4","10:13:31:f7:c2:e1","86","-30 dBm","802.11","QoS Null function (No data), SN=966, FN=0, Flags=...PR..TC"
"1226","22.310254764","SamsungE_53:9b:d4","10:13:31:f7:c2:e1","86","-30 dBm","802.11","QoS Null function (No data), SN=966, FN=0, Flags=...PR..TC"
"1486","27.896514073","SamsungE_53:9b:d4","01:00:5e:00:00:16","146","-29 dBm","802.11","QoS Data, SN=9, FN=0, Flags=.p.....TC"
"1490","27.931174526","SamsungE_53:9b:d4","01:00:5e:00:00:16","148","-66 dBm","802.11","Data, SN=1179, FN=0, Flags=.p....F.C"
"1505","28.296963807","SamsungE_53:9b:d4","10:13:31:f7:c2:e1","86","-32 dBm","802.11","QoS Null function (No data), SN=967, FN=0, Flags=...P...TC"
"1787","34.376520678","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","195","-32 dBm","802.11","QoS Data, SN=877, FN=0, Flags=.p.....TC"
