"No.","Time","Source","Destination","Length","RSSI","Protocol","Info"
"78","1.682971","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","260","-33 dBm","802.11","QoS Data, SN=1100, FN=0, Flags=.p.....TC"
"80","1.685619","Sagemcom_ba:ef:01","a4:42:3b:d2:f7:08","268","-53 dBm","802.11","QoS Data, SN=3483, FN=0, Flags=.p....F.C"
"85","1.717556","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","1388","-32 dBm","802.11","QoS Data, SN=1101, FN=0, Flags=.p.....TC"
"89","1.721231","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","217","-33 dBm","802.11","QoS Data, SN=1102, FN=0, Flags=.p.....TC"
"93","1.729671","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","150","-33 dBm","802.11","QoS Data, SN=1103, FN=0, Flags=.p.....TC"
"96","1.749947","","a4:42:3b:d2:f7:08","2382","-53 dBm","802.11","QoS Data, SN=3484, FN=0, Flags=.p....F.C"
"100","1.750647","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","216","-33 dBm","802.11","QoS Data, SN=1104, FN=0, Flags=.p.....TC"
"104","1.751008","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","179","-34 dBm","802.11","QoS Data, SN=1105, FN=0, Flags=.p.....TC"
"105","1.751024","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","1345","-34 dBm","802.11","QoS Data, SN=1106, FN=0, Flags=.p.....TC"
"107","1.759379","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","171","-54 dBm","802.11","QoS Data, SN=3485, FN=0, Flags=.p....F.C"
"109","1.764726","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","238","-53 dBm","802.11","QoS Data, SN=3486, FN=0, Flags=.p....F.C"
"111","1.765798","","a4:42:3b:d2:f7:08","265","-53 dBm","802.11","QoS Data, SN=3487, FN=0, Flags=.p....F.C"
"115","1.766207","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","172","-33 dBm","802.11","QoS Data, SN=1107, FN=0, Flags=.p.....TC"
"122","1.891109","","a4:42:3b:d2:f7:08","1762","-53 dBm","802.11","QoS Data, SN=3488, FN=0, Flags=.p....F.C"
"126","1.891795","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","173","-33 dBm","802.11","QoS Data, SN=1108, FN=0, Flags=.p.....TC"
"130","1.892146","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","171","-33 dBm","802.11","QoS Data, SN=1109, FN=0, Flags=.p.....TC"
"136","1.918350","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","171","-33 dBm","802.11","QoS Data, SN=1110, FN=0, Flags=.p.....TC"
"143","1.930652","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","171","-54 dBm","802.11","QoS Data, SN=3489, FN=0, Flags=.p....F.C"
"170","2.559170","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","260","-31 dBm","802.11","QoS Data, SN=1111, FN=0, Flags=.p.....TC"
"172","2.559800","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","268","-55 dBm","802.11","QoS Data, SN=2422, FN=0, Flags=.p....F.C"
"174","2.561082","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-73 dBm","802.11","QoS Data, SN=416, FN=0, Flags=.p.....TC"
"176","2.561965","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-55 dBm","802.11","QoS Data, SN=3490, FN=0, Flags=.p....F.C"
"181","2.582491","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","237","-31 dBm","802.11","QoS Data, SN=1112, FN=0, Flags=.p.....TC"
"185","2.585473","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","186","-31 dBm","802.11","QoS Data, SN=1113, FN=0, Flags=.p.....TC"
"187","2.589879","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","164","-55 dBm","802.11","QoS Data, SN=3491, FN=0, Flags=.p....F.C"
"189","2.594160","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","210","-55 dBm","802.11","QoS Data, SN=3492, FN=0, Flags=.p....F.C"
"193","2.594920","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","162","-31 dBm","802.11","QoS Data, SN=1114, FN=0, Flags=.p.....TC"
"196","2.600678","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","170","-55 dBm","802.11","QoS Data, SN=3493, FN=0, Flags=.p....F.C"
"200","2.601095","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","150","-31 dBm","802.11","QoS Data, SN=1115, FN=0, Flags=.p.....TC"
"204","2.601373","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","669","-31 dBm","802.11","QoS Data, SN=1116, FN=0, Flags=.p.....TC"
"208","2.605831","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","150","-31 dBm","802.11","QoS Data, SN=1117, FN=0, Flags=.p.....TC"
"210","2.607006","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","158","-55 dBm","802.11","QoS Data, SN=2423, FN=0, Flags=.p....F.C"
"212","2.608099","","a4:42:3b:d2:f7:08","452","-55 dBm","802.11","QoS Data, SN=3494, FN=0, Flags=.p....F.C"
"216","2.608722","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","214","-32 dBm","802.11","QoS Data, SN=1118, FN=0, Flags=.p.....TC"
"220","2.608982","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","250","-31 dBm","802.11","QoS Data, SN=1119, FN=0, Flags=.p.....TC"
"221","2.608990","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","654","-31 dBm","802.11","QoS Data, SN=1120, FN=0, Flags=.p.....TC"
"223","2.613392","","a4:42:3b:d2:f7:08","559","-55 dBm","802.11","QoS Data, SN=3495, FN=0, Flags=.p....F.C"
"224","2.613407","","a4:42:3b:d2:f7:08","352","-55 dBm","802.11","QoS Data, SN=3496, FN=0, Flags=.p....F.C"
"228","2.613805","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","150","-32 dBm","802.11","QoS Data, SN=1121, FN=0, Flags=.p.....TC"
